State,Year,Quarter,District,Registered_users
Andaman And Nicobar Islands,2018,1,south andaman,5846
Andaman And Nicobar Islands,2018,1,north and middle andaman,632
Andaman And Nicobar Islands,2018,1,nicobars,262
Andaman And Nicobar Islands,2018,2,south andaman,8143
Andaman And Nicobar Islands,2018,2,north and middle andaman,911
Andaman And Nicobar Islands,2018,2,nicobars,351
Andaman And Nicobar Islands,2018,3,south andaman,10474
Andaman And Nicobar Islands,2018,3,north and middle andaman,1208
Andaman And Nicobar Islands,2018,3,nicobars,467
Andaman And Nicobar Islands,2018,4,south andaman,13133
Andaman And Nicobar Islands,2018,4,north and middle andaman,1553
Andaman And Nicobar Islands,2018,4,nicobars,536
Andaman And Nicobar Islands,2019,1,south andaman,15961
Andaman And Nicobar Islands,2019,1,north and middle andaman,2013
Andaman And Nicobar Islands,2019,1,nicobars,622
Andaman And Nicobar Islands,2019,2,south andaman,18621
Andaman And Nicobar Islands,2019,2,north and middle andaman,2417
Andaman And Nicobar Islands,2019,2,nicobars,693
Andaman And Nicobar Islands,2019,3,south andaman,20518
Andaman And Nicobar Islands,2019,3,north and middle andaman,2662
Andaman And Nicobar Islands,2019,3,nicobars,751
Andaman And Nicobar Islands,2019,4,south andaman,22202
Andaman And Nicobar Islands,2019,4,north and middle andaman,2955
Andaman And Nicobar Islands,2019,4,nicobars,803
Andaman And Nicobar Islands,2020,1,south andaman,24174
Andaman And Nicobar Islands,2020,1,north and middle andaman,3315
Andaman And Nicobar Islands,2020,1,nicobars,879
Andaman And Nicobar Islands,2020,2,south andaman,27626
Andaman And Nicobar Islands,2020,2,north and middle andaman,4100
Andaman And Nicobar Islands,2020,2,nicobars,984
Andaman And Nicobar Islands,2020,3,south andaman,34833
Andaman And Nicobar Islands,2020,3,north and middle andaman,5355
Andaman And Nicobar Islands,2020,3,nicobars,1147
Andaman And Nicobar Islands,2020,4,south andaman,43908
Andaman And Nicobar Islands,2020,4,north and middle andaman,7076
Andaman And Nicobar Islands,2020,4,nicobars,1412
Andaman And Nicobar Islands,2021,1,south andaman,48352
Andaman And Nicobar Islands,2021,1,north and middle andaman,7833
Andaman And Nicobar Islands,2021,1,nicobars,1573
Andaman And Nicobar Islands,2021,2,south andaman,51903
Andaman And Nicobar Islands,2021,2,north and middle andaman,8493
Andaman And Nicobar Islands,2021,2,nicobars,1699
Andaman And Nicobar Islands,2021,3,south andaman,55873
Andaman And Nicobar Islands,2021,3,north and middle andaman,9263
Andaman And Nicobar Islands,2021,3,nicobars,1846
Andaman And Nicobar Islands,2021,4,south andaman,59807
Andaman And Nicobar Islands,2021,4,north and middle andaman,10002
Andaman And Nicobar Islands,2021,4,nicobars,1971
Andaman And Nicobar Islands,2022,1,south andaman,63487
Andaman And Nicobar Islands,2022,1,north and middle andaman,10720
Andaman And Nicobar Islands,2022,1,nicobars,2081
Andaman And Nicobar Islands,2022,2,south andaman,66959
Andaman And Nicobar Islands,2022,2,north and middle andaman,11379
Andaman And Nicobar Islands,2022,2,nicobars,2192
Andaman And Nicobar Islands,2022,3,south andaman,70445
Andaman And Nicobar Islands,2022,3,north and middle andaman,11897
Andaman And Nicobar Islands,2022,3,nicobars,2300
Andaman And Nicobar Islands,2022,4,south andaman,73692
Andaman And Nicobar Islands,2022,4,north and middle andaman,12361
Andaman And Nicobar Islands,2022,4,nicobars,2389
Andaman And Nicobar Islands,2023,1,south andaman,77052
Andaman And Nicobar Islands,2023,1,north and middle andaman,12941
Andaman And Nicobar Islands,2023,1,nicobars,2491
Andaman And Nicobar Islands,2023,2,south andaman,80112
Andaman And Nicobar Islands,2023,2,north and middle andaman,13600
Andaman And Nicobar Islands,2023,2,nicobars,2617
Andaman And Nicobar Islands,2023,3,south andaman,83305
Andaman And Nicobar Islands,2023,3,north and middle andaman,14216
Andaman And Nicobar Islands,2023,3,nicobars,2734
Andaman And Nicobar Islands,2023,4,south andaman,86348
Andaman And Nicobar Islands,2023,4,north and middle andaman,14813
Andaman And Nicobar Islands,2023,4,nicobars,2817
Andaman And Nicobar Islands,2024,1,south andaman,89907
Andaman And Nicobar Islands,2024,1,north and middle andaman,15539
Andaman And Nicobar Islands,2024,1,nicobars,2965
Andaman And Nicobar Islands,2024,2,south andaman,93421
Andaman And Nicobar Islands,2024,2,north and middle andaman,16183
Andaman And Nicobar Islands,2024,2,nicobars,3083
Andhra Pradesh,2018,1,visakhapatnam,497187
Andhra Pradesh,2018,1,east godavari,350356
Andhra Pradesh,2018,1,krishna,323673
Andhra Pradesh,2018,1,guntur,317065
Andhra Pradesh,2018,1,chittoor,309541
Andhra Pradesh,2018,1,anantapur,241192
Andhra Pradesh,2018,1,kurnool,240133
Andhra Pradesh,2018,1,west godavari,213335
Andhra Pradesh,2018,1,spsr nellore,194475
Andhra Pradesh,2018,1,prakasam,189949
Andhra Pradesh,2018,2,visakhapatnam,636052
Andhra Pradesh,2018,2,east godavari,454398
Andhra Pradesh,2018,2,krishna,431965
Andhra Pradesh,2018,2,guntur,420326
Andhra Pradesh,2018,2,chittoor,414306
Andhra Pradesh,2018,2,anantapur,326383
Andhra Pradesh,2018,2,kurnool,319313
Andhra Pradesh,2018,2,west godavari,282393
Andhra Pradesh,2018,2,spsr nellore,261049
Andhra Pradesh,2018,2,prakasam,253458
Andhra Pradesh,2018,3,visakhapatnam,769096
Andhra Pradesh,2018,3,east godavari,558982
Andhra Pradesh,2018,3,krishna,537086
Andhra Pradesh,2018,3,guntur,518931
Andhra Pradesh,2018,3,chittoor,515727
Andhra Pradesh,2018,3,anantapur,405855
Andhra Pradesh,2018,3,kurnool,394311
Andhra Pradesh,2018,3,west godavari,349782
Andhra Pradesh,2018,3,spsr nellore,322446
Andhra Pradesh,2018,3,prakasam,314899
Andhra Pradesh,2018,4,visakhapatnam,978288
Andhra Pradesh,2018,4,east godavari,694455
Andhra Pradesh,2018,4,krishna,682479
Andhra Pradesh,2018,4,chittoor,665280
Andhra Pradesh,2018,4,guntur,659552
Andhra Pradesh,2018,4,anantapur,510892
Andhra Pradesh,2018,4,kurnool,498582
Andhra Pradesh,2018,4,west godavari,435668
Andhra Pradesh,2018,4,spsr nellore,407495
Andhra Pradesh,2018,4,prakasam,394962
Andhra Pradesh,2019,1,visakhapatnam,1174517
Andhra Pradesh,2019,1,east godavari,839277
Andhra Pradesh,2019,1,krishna,833694
Andhra Pradesh,2019,1,chittoor,812314
Andhra Pradesh,2019,1,guntur,802394
Andhra Pradesh,2019,1,anantapur,612162
Andhra Pradesh,2019,1,kurnool,599422
Andhra Pradesh,2019,1,west godavari,523372
Andhra Pradesh,2019,1,spsr nellore,491908
Andhra Pradesh,2019,1,prakasam,474260
Andhra Pradesh,2019,2,visakhapatnam,1318740
Andhra Pradesh,2019,2,krishna,952300
Andhra Pradesh,2019,2,east godavari,945181
Andhra Pradesh,2019,2,chittoor,925491
Andhra Pradesh,2019,2,guntur,915256
Andhra Pradesh,2019,2,anantapur,695114
Andhra Pradesh,2019,2,kurnool,680118
Andhra Pradesh,2019,2,west godavari,592185
Andhra Pradesh,2019,2,spsr nellore,558303
Andhra Pradesh,2019,2,prakasam,539462
Andhra Pradesh,2019,3,visakhapatnam,1460464
Andhra Pradesh,2019,3,krishna,1066546
Andhra Pradesh,2019,3,east godavari,1057167
Andhra Pradesh,2019,3,chittoor,1032733
